product_id,product_name,base_price,quantity,category_id
SP001,Mì Hảo Hảo tôm chua cay,5000,200,CAT001
SP002,Mì Omachi sườn hầm ngũ quả,8000,150,CAT001
SP003,Phở bò Vifon túi,7500,100,CAT001
SP004,Gạo ST25 Ông Cua túi 5kg,180000,50,CAT001
SP005,Nước mắm Nam Ngư 750ml,35000,80,CAT001
SP006,Nước mắm Chinsu cá hồi,45000,70,CAT001
SP007,Dầu ăn Tường An 1L,52000,90,CAT001
SP008,Dầu ăn Simply 1L,60000,85,CAT001
SP009,Đường tinh luyện Biên Hòa 1kg,28000,150,CAT001
SP010,Sữa đặc Ông Thọ đỏ lon,22000,120,CAT001
SP011,Hạt nêm Knorr thịt thăn 400g,38000,110,CAT001
SP012,Tương ớt Chinsu 250g,15000,140,CAT001
SP013,Nước suối Aquafina 500ml,5000,300,CAT002
SP014,Nước khoáng Lavie 500ml,5000,250,CAT002
SP015,Coca Cola lon 330ml,10000,400,CAT002
SP016,Pepsi lon 330ml,10000,350,CAT002
SP017,Sprite chai 1.5L,20000,100,CAT002
SP018,Trà Ô long Tea Plus,10000,180,CAT002
SP019,Nước tăng lực Redbull lon,15000,200,CAT002
SP020,Cà phê lon Birdy xanh,12000,90,CAT002
SP021,Dầu gội Clear Men 630g,145000,40,CAT003
SP022,Dầu gội Sunsilk mềm mượt,135000,35,CAT003
SP023,Kem đánh răng PS 123,35000,60,CAT003
SP024,Sữa tắm Lifebuoy bảo vệ,160000,30,CAT003
SP025,Sữa rửa mặt Hazeline,55000,55,CAT003
SP026,Giấy vệ sinh Bless You lốc 10,85000,70,CAT003
SP027,Khăn ướt Baby gói 100 tờ,40000,100,CAT003
SP028,Bánh Oreo nhân socola,15000,120,CAT004
SP029,Kẹo Alpenliebe caramen,12000,200,CAT004
SP030,Bánh Cosy quy sữa 240g,25000,80,CAT004
SP031,Snack khoai tây Pringles,35000,90,CAT004
SP032,Socola KitKat trà xanh,20000,150,CAT004
SP033,Bánh ChocoPie Orion hộp 6,32000,60,CAT004
SP034,Bánh gạo One One phô mai,22000,85,CAT004
SP035,Kẹo dẻo Haribo gấu,18000,130,CAT004
SP036,Thịt ba chỉ bò Mỹ 500g,150000,20,CAT005
SP037,Ức gà phi lê 500g,45000,25,CAT005
SP038,Cá hồi phi lê tươi 200g,120000,15,CAT005
SP039,Trứng gà ta vỉ 10 quả,45000,50,CAT005
SP040,Khoai tây vàng túi 1kg,25000,40,CAT005
